Device,Plant,Truss,Total_flowers,Budding,Transition_B_to_O,Open,Closed,Setting,Broken_Sets,Out_of_Sequence,Test_Year,Test_Month,Test_Day
1,8,102,10.0,9.0,1.0,0.0,0.0,0.0,0.0,0,290304,288,3168
1,8,201,15.0,9.0,4.0,2.0,0.0,0.0,0.0,0,290304,288,3168
1,9,101,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0,290304,288,3168
1,9,201,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0,290304,288,3168
1,10,101,6.0,2.0,3.0,1.0,0.0,0.0,0.0,0,290304,288,3168
1,10,201,8.0,5.0,3.0,0.0,0.0,0.0,0.0,0,290304,288,3168
1,11,101,8.0,5.0,3.0,0.0,0.0,0.0,0.0,0,290304,288,3168
1,11,201,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0,290304,288,3168
1,12,101,8.0,6.0,2.0,0.0,0.0,0.0,0.0,0,290304,288,3168
1,12,201,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0,290304,288,3168
1,13,101,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0,290304,288,3168
1,13,201,8.0,6.0,2.0,0.0,0.0,0.0,0.0,0,290304,288,3168
1,14,101,6.0,1.0,3.0,2.0,0.0,0.0,0.0,0,290304,288,3168
1,14,102,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0,290304,288,3168
1,14,201,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0,290304,288,3168
2,1,101,15.0,10.0,3.0,2.0,0.0,0.0,0.0,0,290304,288,3168
2,1,201,15.0,9.0,4.0,2.0,0.0,0.0,0.0,0,290304,288,3168
2,2,101,15.0,9.0,3.0,3.0,0.0,0.0,0.0,0,290304,288,3168
2,2,102,12.0,11.0,1.0,0.0,0.0,0.0,0.0,0,290304,288,3168
2,2,201,15.0,9.0,4.0,2.0,0.0,0.0,0.0,0,290304,288,3168
2,2,202,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0,290304,288,3168
2,3,101,13.0,10.0,1.0,2.0,0.0,0.0,0.0,0,290304,288,3168
2,3,201,18.0,11.0,4.0,3.0,0.0,0.0,0.0,0,290304,288,3168
2,3,202,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0,290304,288,3168
2,4,101,11.0,5.0,4.0,2.0,0.0,0.0,0.0,0,290304,288,3168
2,4,201,16.0,12.0,4.0,0.0,0.0,0.0,0.0,0,290304,288,3168
2,5,101,15.0,9.0,3.0,3.0,0.0,0.0,0.0,0,290304,288,3168
2,5,102,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0,290304,288,3168
2,5,201,13.0,12.0,1.0,0.0,0.0,0.0,0.0,0,290304,288,3168
2,6,101,11.0,6.0,3.0,2.0,0.0,0.0,0.0,0,290304,288,3168
2,6,201,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0,290304,288,3168
2,7,101,28.0,19.0,5.0,4.0,0.0,0.0,0.0,0,290304,288,3168
2,7,201,15.0,11.0,4.0,0.0,0.0,0.0,0.0,0,290304,288,3168
2,8,101,13.0,8.0,3.0,2.0,0.0,0.0,0.0,0,290304,288,3168
2,9,101,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0,290304,288,3168
2,9,201,7.0,2.0,3.0,2.0,0.0,0.0,0.0,0,290304,288,3168
2,10,101,8.0,3.0,3.0,2.0,0.0,0.0,0.0,0,290304,288,3168
2,10,201,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0,290304,288,3168
2,11,101,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0,290304,288,3168
2,11,201,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0,290304,288,3168
2,12,101,7.0,2.0,3.0,2.0,0.0,0.0,0.0,0,290304,288,3168
2,12,201,8.0,4.0,3.0,1.0,0.0,0.0,0.0,0,290304,288,3168
2,13,101,7.0,3.0,4.0,0.0,0.0,0.0,0.0,0,290304,288,3168
2,13,201,8.0,7.0,1.0,0.0,0.0,0.0,0.0,0,290304,288,3168
2,14,101,6.0,2.0,3.0,1.0,0.0,0.0,0.0,0,290304,288,3168
2,14,201,8.0,5.0,3.0,0.0,0.0,0.0,0.0,0,290304,288,3168
3,1,101,28.0,18.0,6.0,4.0,0.0,0.0,0.0,0,290304,288,3168
3,1,102,11.0,10.0,1.0,0.0,0.0,0.0,0.0,0,290304,288,3168
3,1,201,29.0,18.0,7.0,4.0,0.0,0.0,0.0,0,290304,288,3168
3,1,202,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0,290304,288,3168
3,2,101,14.0,12.0,2.0,0.0,0.0,0.0,0.0,0,290304,288,3168
3,2,201,13.0,11.0,2.0,0.0,0.0,0.0,0.0,0,290304,288,3168
3,3,101,16.0,11.0,3.0,2.0,0.0,0.0,0.0,0,290304,288,3168
3,3,201,14.0,12.0,2.0,0.0,0.0,0.0,0.0,0,290304,288,3168
3,4,101,15.0,11.0,2.0,2.0,0.0,0.0,0.0,0,290304,288,3168
3,4,102,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0,290304,288,3168
3,4,201,29.0,18.0,6.0,5.0,0.0,0.0,0.0,0,290304,288,3168
3,5,101,16.0,10.0,4.0,2.0,0.0,0.0,0.0,0,290304,288,3168
3,5,201,27.0,20.0,5.0,2.0,0.0,0.0,0.0,0,290304,288,3168
3,6,101,15.0,10.0,4.0,1.0,0.0,0.0,0.0,0,290304,288,3168
3,6,201,15.0,8.0,5.0,2.0,0.0,0.0,0.0,0,290304,288,3168
3,7,101,28.0,20.0,5.0,3.0,0.0,0.0,0.0,0,290304,288,3168
3,7,201,29.0,20.0,6.0,3.0,0.0,0.0,0.0,0,290304,288,3168
3,7,202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,290304,288,3168
3,8,101,15.0,10.0,3.0,2.0,0.0,0.0,0.0,0,290304,288,3168
