Device,Plant,Truss,Total flowers,Budding,Transition B to O,Open,Closed,Setting,Broken Sets,Out of Sequence,Treated(Y/N)
C,4,103,20,3,2,2,,12,1,,
C,4,104,18,5,2,3,,8,,,
C,4,201,35,6,0,,,29,,,
C,4,202,19,2,0,1,,13,3,,
C,4,203,15,3,1,1,,10,,,
C,4,204,17,6,2,3,,6,,,
C,5,101,20,4,0,,,15,1,1,
C,5,102,16,4,0,,,12,,,
C,5,103,17,6,0,2,,8,1,,
C,5,104,16,8,1,3,1,3,,,
C,5,201,27,4,0,,,21,2,,
C,5,202,14,3,0,,,11,,,
C,5,203,12,6,0,,1,5,,,
C,5,204,11,7,1,1,2,0,,,
C,6,101,13,,0,,,13,,,
C,6,102,16,5,1,,1,9,,,
C,6,103,15,7,0,,1,7,,,
C,6,201,14,,0,,,14,,,
C,6,202,17,6,0,,,11,,,
C,6,203,13,7,0,,,6,,,
C,6,204,28,20,4,2,2,0,,,
C,7,101,32,4,,,,26,2,,
C,7,102,16,2,,1,,11,2,1,
C,7,103,19,4,1,2,1,11,,,
C,7,104,17,6,2,3,,6,,,
C,7,201,31,2,,,,28,1,,
C,7,202,19,3,,,1,15,,,
C,7,203,17,4,1,1,1,10,,,
C,7,204,19,9,1,3,,6,,,
C,8,101,18,4,,,,14,,,
C,8,102,18,3,,1,,14,,,
C,8,103,18,4,2,2,1,9,,,
C,8,104,16,7,3,3,,3,,,
C,8,201,32,6,,,,26,0,,
C,8,202,19,2,,2,1,14,0,,
C,8,203,15,2,1,2,1,8,1,,
C,8,204,17,7,3,3,,4,,,
C,9,101,8,,,,,5,,,
C,9,102,7,,,,,7,,,
C,9,201,7,,,,,5,,,
C,9,202,5,,,,,,,,
C,9,203,6,,,,,5,,,
C,10,101,6,,,,,5,,,
C,10,102,5,,,,,,,,
C,10,103,6,,,,,6,,,
C,10,201,6,,,,,5,,,
C,10,202,8,,,,,6,,,
C,11,101,5,,,,,5,,,
C,11,102,6,,,,,6,,,
C,11,103,7,,,,,1,,,
C,11,201,8,,,,,7,,,
C,11,202,8,,,,,6,,,
C,11,203,6,,,,,,,,
C,11,204,8,,,,,,,,
C,12,101,7,,,,,3,1,,
C,12,102,7,,,,,3,,,
C,12,103,6,,,,,,,,
C,12,201,7,,,,,6,,,
C,12,202,7,,,,,4,,,
C,13,101,7,,,,,6,,,
C,13,102,6,,,,,4,,,
C,13,201,7,,,,,7,,,
C,13,202,4,,,,,4,,,
C,13,203,7,,,,,,,,
C,14,101,6,,,,,5,,,
C,14,102,7,,,,,5,,,
C,14,103,7,,,,,,,,
C,14,201,7,,,,,7,,,
C,14,202,7,,,,,6,,,
C,14,203,7,,,,,,,,
E,1,101,21,,,,,10,2,4,
E,1,102,19,,,,,6,1,,
E,1,103,19,,,,,3,0,5,
E,1,104,28,,,,,1,0,0,
E,1,201,19,,,,,11,1,1,
E,1,202,15,,,,,10,0,,
E,1,203,18,,,,,7,1,,
E,1,204,17,,,,,1,0,,
E,2,101,8,,,,,3,5,,
E,2,102,13,,,,,8,1,1,
E,2,103,18,,,,,7,,,
E,2,201,15,,,,,10,1,2,
E,2,202,12,,,,,8,,,
E,2,203,21,,,,,,,,
E,2,204,21,,,,,,,,
E,3,101,15,,,,,10,2,2,
E,3,102,21,,,,,13,3,,
E,3,103,11,,,,,4,2,,
E,3,104,25,,,,,2,,,
E,3,201,25,,,,,18,2,1,
E,3,202,22,,,,,12,4,2,
E,3,203,8,,,,,6,2,,
E,3,204,25,,,,,4,,,
E,4,101,20,,,,,11,4,1,
E,4,102,17,,,,,9,2,,
E,4,103,18,,,,,5,,2,
E,4,104,30,,,,,,,,
E,4,201,20,,,,,13,4,,
E,4,202,19,,,,,10,3,,
E,4,203,14,,,,,5,1,,
E,4,204,16,,,,,,,,
E,5,101,22,,,,,10,1,1,
E,5,102,17,,,,,7,1,,
E,5,103,16,,,,,4,,,
E,5,201,16,,,,,9,2,,
E,5,202,19,,,,,8,1,1,
E,5,203,13,,,,,1,,,
E,6,101,16,,,,,4,8,,
E,6,102,14,,,,,6,3,,
E,6,103,13,,,,,5,,,
E,6,104,10,,,,,,,,
E,8,101,8,,,,,2,,,
E,8,102,9,,,,,,,,
E,8,103,7,,,,,3,,3,
E,8,201,8,,,,,5,,2,
E,8,202,8,,,,,,,,
E,8,203,6,,,,,5,,,
E,9,101,7,,,,,2,,,
E,9,101,7,,,,,2,,,
E,9,102,8,,,,,5,,,
E,9,102,6,,,,,2,,2,
E,9,201,7,,,,,,,,
E,9,202,6,,,,,5,,,
F,1,101,48,,,,,34,,,
F,1,102,20,,,,,15,,,
F,1,103,17,,,,,8,,,
F,1,104,18,,,,,0,,,
F,1,201,17,,,,,11,,,
F,1,202,20,,,,,12,,,
F,1,203,16,,,,,8,,,
F,1,204,15,,,,,1,,,
F,2,101,20,,,,,14,,,
F,2,102,18,,,,,11,,,
F,2,103,19,,,,,5,,,
F,2,201,20,,,,,13,,,
F,2,202,17,,,,,9,,,
F,3,101,19,,,,,12,,,
F,3,102,23,,,,,7,,,
F,3,104,15,,,,,0,,,
F,3,201,18,,,,,13,,,
F,3,202,16,,,,,10,,,
F,3,203,18,,,,,3,,,
F,3,203,16,,,,,3,,,
F,3,204,18,,,,,,,,
F,4,101,24,,,,,20,,1,
F,4,102,19,,,,,14,1,,
F,4,103,17,,,,,9,,1,
